# name	address (octal)	source (code: where the listing places it; table: the printed symbol table)	flags
# Derived from symelec-listing.txt by packages/cabinet/scripts/extract-symbols.mjs.
YBMC	05000	table	
MRKX	05001	table	
MKER	05002	table	
ALPHA	05003	table	
LOPX	05006	table	
T3	05007	table	
U1	05010	table	
R	05011	table	
S1	05012	table	
SUMB	05013	table	
DY	05014	table	
PONT	05015	table	
XBMC	05016	table	
Y	05017	table	
V	05020	table	
TEMP2	05021	table	
YBEAM	05022	table	
SVAD	05023	table	
LOPY	05024	table	
SAV	05027	table	
HDR1	05030	table	
DS	05031	table	
ADR	05032	table	
SW	05033	table	
CKS	05034	table	
RELCON	05035	table	
ADR1	05036	table	
BSZ	05037	table	
SUMB	05040	table	
MODE	05041	table	
ASR	05043	table	
COMPOS	05044	table	
VEPART	05045	table	
XINS1	05046	table	
YP	05050	table	
XP	05051	table	
TRAKX	05052	table	
TRAKY	05053	table	
XTOT	05054	table	
YTOT	05055	table	
XINS	05056	table	
YINS	05057	table	
XTOTIN	05060	table	
YTOTIN	05061	table	
YINS1	05062	table	
COMPOI	05063	table	
SBPI	05064	table	
CCAT	05065	table	
NM	05066	table	
STPNTX	05107	code+table	
STPNTY	05110	code+table	
STCON	05111	code+table	
STPOS	05112	code+table	
STCON1	05113	code+table	
BFIRST	05114	code+table	
BSNDST	05115	code+table	
LEVEL	05116	code+table	
BLEVEL	05117	code+table	
COUNT	05120	code+table	
CON	05121	code+table	
CON1	05122	code	
DRAWHG	05123	table	
DRAWMO	05123	code	
SWITCH	05124	code+table	
CONSTX	05125	code	
CONSTB	05126	code+table	
CONSTC	05127	code+table	
CONSTD	05130	code+table	
CONSND	05131	code+table	
RMODE	05132	code+table	
CHODE	05133	table	
CMODE	05133	code	
MBLINK	05134	code+table	
BLINK	05135	code+table	
SCRABL	05136	code+table	
MIN	05137	code+table	
MOUT	05140	code+table	
IMC	05141	code+table	
WX1	05142	code+table	
WX2	05143	code+table	
WY1	05144	code+table	
WY2	05145	code+table	
SAVINS	05146	code+table	
SAVSUB	05147	code+table	
CCOM1	05150	code+table	
PRINT1	05151	code+table	
PRINT2	05152	code+table	
COLON	05154	code+table	
CR	05155	code+table	
DFB	05156	code+table	
DFE	05157	code+table	
DFERES	05160	code	
DFENOR	05161	code+table	
BEG	05162	code+table	
END	05163	code+table	
ENDRES	05164	code+table	
ENDNOR	05165	code+table	
BOT	05166	code+table	
TOP	05167	code+table	
LPBEG	05171	code+table	
LKBEG	05172	code+table	
LKEND	05173	code+table	
XSTBEG	05174	code+table	
YSTBEG	05175	code+table	
YSTEND	05176	code+table	
STSAVE	05177	code+table	
LB	05200	code+table	
LBSF	05231	code+table	
LB1	05253	code+table	
LB3	05254	code+table	
LB4	05262	code+table	
WAREA	05272	code+table	
TOTEMP	05304	code+table	
PSD	05312	code+table	
PAD	05313	code+table	
PRD	05314	code+table	
PCD	05315	code+table	
PLD	05316	code+table	
PXD	05317	code+table	
INT	05320	code+table	
PEN	05353	code+table	
PEN1	05403	code+table	
PEN2	05413	code+table	
PEN4	05431	code+table	
PEN5	05437	code+table	
PEN3	05445	code+table	
TRCR	05466	code+table	
STPCD	05504	code+table	
CLOCK	05534	code+table	
EDGEV	05571	code+table	
EDGEH	05605	code	
EDGEN	05605	table	
POSCR	05621	code+table	
